target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
couch potato,Literally a potato lying on a couch.,A potato placed on a sofa or a similar type of seat.,"['A typical Idaho potato casually positioned on the center cushion of a plush red couch.', 'A small potato seated on a large leather armchair, looking rather dwarfed by the furniture.', 'A sweet potato, with its elongated shape, lying lengthwise on a sleek modern sofa.', 'A whole raw potato placed against the throw pillows on a pastel-colored loveseat.', 'A large Russet potato occupying the corner seat of a sectional couch.']",A potato resting comfortably on the seating furniture.,An idle potato on a cushy seat.,"Both phrases depict the literal image well. However, the first fits better as it doesn't imply the potato has any attribute or action.",A potato resting comfortably on the seating furniture.
peas in a pod,Literally green peas inside a pea pod.,The contained peas inside the casing of a pea plant.,"['The close-up of a freshly plucked pea pod, partially opened to reveal the peas inside.', 'A full pea pod held between two fingers, with its connected peas barely visible.', 'A bright green pea pod split open on a wooden cutting board, peas nestled snugly within.', 'A freshly harvested pile of pea pods, with some opened to show the peas inside.', 'A single pea pod laying on an outdoor table, just beginning to burst open with peas.']",A revealing look inside a pea pod housing its peas.,Peas comfortably ensconced in their natural pod.,Both attempts to give a clear physical description of the phrase. The first caption better captures the full scenario.,A revealing look inside a pea pod housing its peas.
sour grapes,Literally grapes that taste sour.,Grapes with a taste that is sour or tart.,"['A vineyard worker taste-testing a bunch of grapes and pulling a face at the unexpected sourness.', 'A bowl of green grapes on a kitchen counter and a bitten one leaving a sour taste.', 'A child biting into a grape and puckering up due to sour flavor.', 'A bunch of tart wine grapes being used in a cooking process.', 'A painter using sour grapes as a still life subject, one grape bitten into for indication.']",A tasting experience of unexpectedly tart grapes.,Biting into the surprising sourness of a grape.,"Both options articulate the literal image, however, the second caption better emphasizes the singular biting event.",Biting into the surprising sourness of a grape.
hot air,"Literally air that is heated, often seen visually through the occurrence of steam, smoke, or heatwaves.",Air that is warm or hot in temperature.,"['A kettle on the stove, the hot air above it seen distorting the room slightly due to heat.', 'A hot air balloon filling up, the air inside heated and causing the balloon to rise.', 'Rising hot air causing a shimmering heatwave effect above a sun-soaked desert.', 'Smoke and hot air billowing out from an outdoor barbecue grill.', 'The opening of a hot oven, a rush of hot air visible as it hits the cooler air.']",Encountering air warmed up to noticeable levels.,A display of hot air in various situations.,Both captions capture the literal essence of the phrase. The first one better fits with the idea of experiencing hot air.,Encountering air warmed up to noticeable levels.
green light,"Literally a light that is colored green, often seen in traffic lights, stage lighting, or ambient lighting.",A visible light with a green hue or color.,"['A traffic light hanging at an intersection, the green light glowing brightly.', 'A stage during a concert, completely bathed in green light from overhead fixtures.', 'A decorative green lightbulb glowing in a dark room, creating eerie lighting.', 'The display of a digital clock casting green light in a dark bedroom.', 'A signal light on a harbor dock, showing a green light for mariners.']",The glow from a source of green-colored light.,A light shining with a definite green hue.,"Both captions accurately refer to the literal image. However, the second one is more straightforward and concise.",A light shining with a definite green hue.
watering hole,Watering Hole in its literal sense refers to a natural source of water where animals gather to drink.,A natural resource where wild animals come to drink water.,"['A lush savannah with elephants and zebras running towards a pond in the heat of the afternoon.', 'A serene natural pond nestled in a forest, with deer cautiously approaching to quench their thirst.', 'A desert oasis bustling with desert fauna, like camels and desert foxes, coming to drink water.', 'A small water hole in an African wilderness around which a group of lions are waiting stealthily.', 'A watering hole frozen over in the arctic tundra with polar bears wandering around.']",Wild animals gathering around a natural source of water.,A natural water source frequently visited by wildlife.,"Both encapsulate the literal core idea of 'watering hole'. The second caption, however, is a touch more concise and elegantly captures the essence across all scene variants.",A natural water source frequently visited by wildlife.
flying saucer,"In its literal sense, a flying saucer refers to a fictitious or unidentified aircraft, often associated with extra-terrestrial beings, that is saucer or disc-shaped.",A disc or saucer-shaped unidentified or fictional flying object.,"['An illustrated scene of a metallic, shiny disc-shaped aircraft soaring over a night sky above a city.', 'An alien-designed saucer floating above a crop field, with crop circles on the ground as evidence.', 'A scene from a comic book depicting a flying saucer beaming light down onto earth.', 'A futuristic scene featuring a flying saucer maneuvering between high-rise buildings.', 'A classic image of a flying saucer hovering over a desert highway at dusk.']",A disc-shaped object navigating through the sky.,A saucer-shaped aircraft hovering over various landscapes.,"Both captions depict the literal concept of 'flying saucer effectively'. The second caption adds a bit more detail, making it more vivid and fitting for all the scenarios.",A saucer-shaped aircraft hovering over various landscapes.
act of god,"An Act of God, in its literal sense, refers to a natural disaster or phenomenon which cannot be prevented or controlled by humans.","A natural event beyond human control, typically a natural disaster.","['A great tidal wave approaching the coast with citizens fleeing the area.', 'A desert suffering from an intense sandstorm, overwhelming all signs of life.', 'A scene of a devastating earthquake causing a huge crack in the ground.', 'A tornado swirling in the distance approaching a farm, scattering animals and belongings.', 'A forest wildfire raging uncontrollably, consuming vast areas of vegetation.']",Uncontrollable natural event causing significant disturbance.,A natural disaster beyond human control unfolding.,Both the captions effectively describe 'act of god'. The latter is simpler and aligns with all given scenarios with its direct explanation.,A natural disaster beyond human control unfolding.
field work,"In its literal sense, field work refers to outdoor work involving collection of data, research, observation, or practical tasks carried out in natural settings outside a lab or office. ",Research or practical work done outside the confines of a laboratory or office.,"['A marine biologist scooping up water samples from the sea into test tubes.', 'An archaeologist meticulously brushing dirt off a newly found artifact at an excavation site.', 'A botanist closely examining the leaf of a plant in a dense jungle.', 'A forester measuring the diameter of trees in a forest reserve area.', 'A geologist examining rock formations in a desert.']",Professionals conducting research or tasks outside laboratory or office settings.,"Out in the field, experts are deeply involved in their respective activities.","Both captions manage to explain 'field work' literally. The first is more precise, correctly summarizing the concept across different situations.",Professionals conducting research or tasks outside laboratory or office settings.
big wig,"In its literal sense, a big wig refers to a large wig, often ornate and flamboyant in design, that people used to wear, especially people of importance or in power in the 17-18ths centuries.","A large, often ornate wig worn by powerful individuals in previous centuries.","['An aristocrat from the 18th century wearing an elaborate, large powdered wig in a court setting.', 'A mannequin adorned with a large, curly blonde wig showcased in a wig shop.', 'A stylish queen from the baroque era portrayed with a towering, embellished wig.', ""A wig maker's shop from the old days featuring a prominently displayed big wig."", 'An actor on stage, playing a 17th-century magistrate, adorned in a large curly wig.']","Historic or opulent figures sporting large, often elaborate wigs.","A large wig, usually ornate and flamboyant, being showcased.","While both captions effectively encapsulate 'big wig', the first one adds value by including historical or opulent figures which aids in better visualization.","Historic or opulent figures sporting large, often elaborate wigs."
